target_mw,selection_order,candidate_id,candidate_name,modeled_capacity_mw,source_area_km2,robust_score,mc_mean_rank,p_top_10,mc_sd_rank
1000,1,IDN_HYLAK_015948,Danau Manindjau,869.4,86.94,0.884243,6.971667,0.985333,1.640588
1000,2,IDN_HYLAK_016100,Unnamed HydroLAKES 16100,159.1,15.91,0.780074,10.039333,0.61,4.45314
1000,3,IDN_HYLAK_016122,Unnamed HydroLAKES 16122,112.7,11.27,0.728888,11.977333,0.428,5.354887
3000,1,IDN_HYLAK_015970,Unnamed HydroLAKES 15970,341.8,34.18,0.906013,3.094667,1.0,1.000852
3000,2,IDN_HYLAK_001609,Danau Ranau,1253.5,125.35,0.900326,4.559,0.999333,1.662484
3000,3,IDN_HYLAK_001589,Danau Singkarak,1080.5,108.05,0.899364,5.073,0.997,1.426068
3000,4,IDN_HYLAK_015994,Unnamed HydroLAKES 15994,435.6,43.56,0.886783,6.392,0.969333,2.317974
3000,5,IDN_HYLAK_016122,Unnamed HydroLAKES 16122,112.7,11.27,0.728888,11.977333,0.428,5.354887
3000,6,IDN_HYLAK_016008,Unnamed HydroLAKES 16008,112.3,11.23,0.687907,13.006667,0.265333,3.90529
3000,7,IDN_HYLAK_015966,Unnamed HydroLAKES 15966,119.4,11.94,0.677458,12.025,0.176667,1.672834
5000,1,IDN_HYLAK_001594,Danau Poso,3656.4,365.64,0.923894,1.349,1.0,0.986846
5000,2,IDN_HYLAK_015970,Unnamed HydroLAKES 15970,341.8,34.18,0.906013,3.094667,1.0,1.000852
5000,3,IDN_HYLAK_001589,Danau Singkarak,1080.5,108.05,0.899364,5.073,0.997,1.426068
5000,4,IDN_HYLAK_015994,Unnamed HydroLAKES 15994,435.6,43.56,0.886783,6.392,0.969333,2.317974
5000,5,IDN_HYLAK_016122,Unnamed HydroLAKES 16122,112.7,11.27,0.728888,11.977333,0.428,5.354887
5000,6,IDN_HYLAK_015966,Unnamed HydroLAKES 15966,119.4,11.94,0.677458,12.025,0.176667,1.672834
10000,1,IDN_HYLAK_000160,Toba,11290.3,1129.03,0.902743,4.178,0.998333,2.056611
10000,2,IDN_HYLAK_016122,Unnamed HydroLAKES 16122,112.7,11.27,0.728888,11.977333,0.428,5.354887
10000,3,IDN_HYLAK_016103,Unnamed HydroLAKES 16103,104.9,10.49,0.573166,21.310333,0.037667,8.859874
